author,date,identifier,keywords,language,og_url,pdf_download_link,pdf_link,publisher,subjects,title
N. A. J. Lieven and D. J. Ewins,2001-1-15,10.1098/rsta.2000.0709,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0709,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0709?download=true,/doi/epdf/10.1098/rsta.2000.0709,The Royal Society,[''],Preface
M. C. R. Symons,2001-8-15,10.1098/rsta.2000.0870,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0870,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0870?download=true,/doi/epdf/10.1098/rsta.2000.0870,The Royal Society,[''],Preface
none,2000-12-15,10.1098/rsta.2000.0694,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0694,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0694?download=true,/doi/epdf/10.1098/rsta.2000.0694,The Royal Society,[''],Preface
V. I. Arnold and J. W. Bruce and H. K. Moffatt and R. B. Pelz,2001-7-15,10.1098/rsta.2001.0851,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2001.0851,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2001.0851?download=true,/doi/epdf/10.1098/rsta.2001.0851,The Royal Society,[''],Preface
P. Gale,2000-12-15,10.1098/rsta.2000.2001,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.2001,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.2001?download=true,/doi/epdf/10.1098/rsta.2000.2001,The Royal Society,[''],"Correction for Gale, Supramolecular chemistry from complexes to complexity"
D. Gubbins and D. V. Kent and C. Laj,2000-3-15,10.1098/rsta.2000.0564,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0564,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0564?download=true,/doi/epdf/10.1098/rsta.2000.0564,The Royal Society,[''],Preface
Roger Penrose,1999-12-1,10.1098/rsta.1999.0489,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0489,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0489?download=true,/doi/epdf/10.1098/rsta.1999.0489,The Royal Society,[''],Introduction science at the turn of the millennium
Juergen Neuberg and Stephen Sparks,2000-5-15,10.1098/rsta.2000.0597,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0597,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0597?download=true,/doi/epdf/10.1098/rsta.2000.0597,The Royal Society,[''],Tribute Professor Peter Francis BSc PhD 1945-1999
L.H. Townend,1999-8-1,10.1098/rsta.1999.0437,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0437,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0437?download=true,/doi/epdf/10.1098/rsta.1999.0437,The Royal Society,[''],Conclusions to Hypersonic aircraft lifting re-entry and launch. A Theme issue published by the Royal Society
Polina Bayvel and Richard J. Gibbens and John E. Midwinter,2000-8-15,10.1098/rsta.2000.0638,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.2000.0638,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2000.0638?download=true,/doi/epdf/10.1098/rsta.2000.0638,The Royal Society,[''],Introductory remarks
N. J.  Shackleton and I. N.  McCave and  G. P. Weedon,1999-7-15,10.1098/rsta.1999.0398,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0398,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0398?download=true,/doi/epdf/10.1098/rsta.1999.0398,The Royal Society,[''],Preface to Astronomical (Milankovitch) calibration of the geological time–scale. A Discussion Meeting held at the Royal Society on 9 and 10 December 1998
N. J. Manson and K. Burnett,1999-5-15,10.1098/rsta.1999.0367,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0367,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0367?download=true,/doi/epdf/10.1098/rsta.1999.0367,The Royal Society,[''],"Preface to Atomic, molecular and photon collision physics new challenges and new opportunities. A Theme edited and compiled by K. Burnett and N. J. Mason"
Jeff Dewynne and Sam Howison and Paul Wilmott,1999-8-1,10.1098/rsta.1999.0412,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0412,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0412?download=true,/doi/epdf/10.1098/rsta.1999.0412,The Royal Society,[''],Preface to Mathematics of Finance. A theme issue published by the Royal Society
R. B. Whitmarsh,1999-4-15,10.1098/rsta.1999.0346,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0346,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0346?download=true,/doi/epdf/10.1098/rsta.1999.0346,The Royal Society,[''],Preface to Response to the Earth's lithosphere to extension. A Discussion Meeting held at the Royal Society on 20 and 21 May 1998.
D. C. Robinson,1999-3-15,10.1098/rsta.1999.0332,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0332,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0332?download=true,/doi/epdf/10.1098/rsta.1999.0332,The Royal Society,[''],Introduction to The approach to ignited plasma. A Discussion Meeting held at the Royal Society on 15 and 16 July 1998
J. R. Blake,1999-2-15,10.1098/rsta.1999.0323,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0323,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0323?download=true,/doi/epdf/10.1098/rsta.1999.0323,The Royal Society,[''],Preface to Acoustic cavitation and sonoluminescence. A theme compiled and edited by J. R. Blake
Leo H. Townend,1999-8-1,10.1098/rsta.1999.0423,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0423,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0423?download=true,/doi/epdf/10.1098/rsta.1999.0423,The Royal Society,[''],Introduction to Hypersonic aircraft lifting re-entry and launch. A Theme issue published by the Royal Society
L.H. Townend,1999-8-1,10.1098/rsta.1999.0422,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1999.0422,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1999.0422?download=true,/doi/epdf/10.1098/rsta.1999.0422,The Royal Society,[''],Preface to Hypersonic aircraft lifting re–entry and launch. A Theme issue published by the Royal Society
S. R. Bishop and D. D. Drysdale,1998-12-15,10.1098/rsta.1998.0297,[''],EN,https://royalsocietypublishing.org/doi/10.1098/rsta.1998.0297,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.1998.0297?download=true,/doi/epdf/10.1098/rsta.1998.0297,The Royal Society,[''],Preface to Fire dynamics. A theme compiled and edited by S. R. Bishop and D. D. Drysdale
